sku,source_title,product_type,reason,parent_stock,total_variants,available_variants,current_price,affiliate_url
15004761194878,Monaco High-Leg Swimsuit - Plum,Swim,Sin stock en todas las variantes,N,6,0,48.75,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15004761194878&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmonaco-high-leg-swimsuit-plum&intsrc=CATF_35417
15004759589246,Monaco High-Waisted Bikini Thong - Plum,Swim Bottoms,Sin stock en todas las variantes,N,6,0,30.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15004759589246&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmonaco-high-waisted-bikini-thong-plum&intsrc=CATF_35417
15004758933886,Monaco High-Waisted Brazilian Bikini Briefs - Plum,Swim Bottoms,Sin stock en todas las variantes,N,6,0,30.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15004758933886&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmonaco-high-waisted-brazilian-bikini-briefs-plum&intsrc=CATF_35417
15869457006974,Mosaic Bralette Bikini Top - Blue Print,Swim Top,Sin stock en todas las variantes,N,6,0,50.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15869457006974&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmosaic-bralette-bikini-top-blue-print&intsrc=CATF_35417
15869457170814,Mosaic High-Leg Brazilian Bikini Briefs - Blue Print,Swim Bottoms,Sin stock en todas las variantes,N,6,0,40.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15869457170814&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmosaic-high-leg-brazilian-bikini-briefs-blue-print&intsrc=CATF_35417
15869456712062,Mosaic Triangle Bikini Top - Blue Print,Swim Top,Sin stock en todas las variantes,N,6,0,50.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15869456712062&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmosaic-bikini-triangle-top-blue-print&intsrc=CATF_35417
7307400806436,Nude Brazilian Briefs (3 Pack) - Multi,Multipack bottoms,Sin stock en todas las variantes,N,7,0,25.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=7307400806436&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fnude-brazilian-briefs-3-pack&intsrc=CATF_35417
7307400904740,Nude Thong (3 Pack) - Multi,Multipack Bottoms,Sin stock en todas las variantes,N,7,0,25.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=7307400904740&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fnude-thong-3-pack&intsrc=CATF_35417
7074660024356,Nurture Thong - Black,Bottoms,Sin stock en todas las variantes,N,6,0,18.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=7074660024356&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fnurture-thong-black&intsrc=CATF_35417
14888154530174,Oversized Blazer - Charcoal,Apparel,Sin stock en todas las variantes,N,6,0,27.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=14888154530174&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Foversized-blazer-charcoal&intsrc=CATF_35417
15628063965566,Oversized Jumper - Washed Blue,Apparel,Sin stock en todas las variantes,N,6,0,60.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15628063965566&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Foversized-jumper-washed-blue&intsrc=CATF_35417
15587902390654,Peep Bra Mini Dress - Plum,Apparel,Sin stock en todas las variantes,N,7,0,81.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15587902390654&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fpeep-bra-mini-dress-plum&intsrc=CATF_35417
15776231915902,Penelope Babydoll (Set) - White,Intimates Set,Sin stock en todas las variantes,N,7,0,80.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15776231915902&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fpenelope-babydoll-set-white&intsrc=CATF_35417
15547089027454,Pleated Wide-Leg Trousers - Thyme,Apparel,Sin stock en todas las variantes,N,12,0,48.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15547089027454&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fpleated-wide-leg-trousers-thyme&intsrc=CATF_35417
15863195763070,Plunge Mini Dress - Cream,Apparel,Sin stock en todas las variantes,N,6,0,90.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15863195763070&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fbutton-front-mini-dress-cream&intsrc=CATF_35417
15863195730302,Plunge Mini Dress - Navy,Apparel,Sin stock en todas las variantes,N,6,0,90.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15863195730302&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fbutton-front-mini-dress-navy&intsrc=CATF_35417
15015496221054,Pointelle Bralette - Buttercup Yellow,Set,Sin stock en todas las variantes,N,6,0,15.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15015496221054&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fpointelle-bralette-buttercup-yellow&intsrc=CATF_35417
15015496024446,Pointelle Bralette - Cream,Set,Sin stock en todas las variantes,N,6,0,15.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15015496024446&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fpointelle-bralette-cream&intsrc=CATF_35417
15828112998782,Pointelle Bralette - Ditsy Floral Print,Set,Sin stock en todas las variantes,N,7,0,30.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15828112998782&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fpointelle-bralette-ditsy-floral-print&intsrc=CATF_35417
