"id","producto","tienda","categorias","variantes_origen","variantes_presentadas","duplicados_agrupados","etiquetas_genericas_origen","estado","controles","valores"
"fam-a5ad164f9085","KAWOLA SIRY","Muebles Style Spain","Hogar | Sillas y sillones","3","3","0","0","configurador","Color (visual) | Medida (buttons)","Color: Coñac / Verde oliva / Negro | Medida: 150.0 x 61.0 x 88.0cm / 88.0 x 150.0 x 88.0cm"
"fam-44d6ef61aaa0","KAWOLA SIVO","Muebles Style Spain","Hogar | Sillas y sillones","3","3","0","0","configurador","Color (visual)","Color: Gris claro / Beige / Antracita"
"fam-cf29b0406130","KAWOLA SNOOZE","Muebles Style Spain","Hogar | Sillas y sillones","2","2","0","0","configurador","Color (visual)","Color: Coñac / Negro"
"fam-f6726163a0aa","KAWOLA SOLO","Muebles Style Spain","Hogar | Camas y colchones","30","9","21","0","configurador","Medida (buttons)","Medida: 200.0 x 160.0 x 5.0cm / 200.0 x 180.0 x 5.0cm / 200.0 x 200.0 x 5.0cm / 200.0 x 160.0 x 6.0cm / 200.0 x 180.0 x 6.0cm / 200.0 x 200.0 x 6.0cm / 200.0 x 160.0 x 9.0cm / 200.0 x 180.0 x 9.0cm / 200.0 x 200.0 x 9.0cm"
"fam-e1c1aebab8a0","KAWOLA STELLA","Muebles Style Spain","Hogar | Sillas y sillones","5","5","0","0","configurador","Color (visual)","Color: Gris / Gris claro / Verde / Marrón / Flamenco"
"fam-e26a667db55e","KAWOLA TARA","Muebles Style Spain","Hogar | Sofás","2","2","0","0","configurador","Color (visual)","Color: Coñac / Negro"
"fam-63c2f70d9a2d","KAWOLA TIBALI","Muebles Style Spain","Hogar | Sofás","3","3","0","0","configurador","Medida (buttons)","Medida: 56.0 x 71.0 x 40.0cm / 60.0 x 77.0 x 43.0cm / 51.0 x 62.0 x 43.0cm"
"fam-fb21572f244c","KAWOLA TOMA","Muebles Style Spain","Hogar | Camas y colchones","3","3","0","0","configurador","Medida (buttons)","Medida: 225.0 x 162.0 x 87.0cm / 225.0 x 202.0 x 87.0cm / 225.0 x 222.0 x 87.0cm"
"fam-1f2146fe0b53","KAWOLA TOSAR","Muebles Style Spain","Hogar | Bancos, pufs y reposapiés","6","6","0","0","configurador","Color (visual) | Tejido o material (buttons)","Color: Gris piedra / Verde / Blanco crema / Negro / Gris / Marrón | Tejido o material: Terciopelo / Piel"
"fam-aafd1b4053f1","KAWOLA TRIVIA","Muebles Style Spain","Hogar | Bancos, pufs y reposapiés","3","3","0","0","configurador","Color (visual)","Color: Coñac / Gris / Negro"
